id;inversion_total;ingresosx_ventas;ganancias_ylb;goubernament_tak;regalias;iue;iva;it;t_1_precio_ventaprom;t_1_costo_variable;t_1_costo_vartarifa;t_1_margen_unitario;t_1_costo_fijo;t_1_costo_totalunitprom;t_1_punto_equilibrio;t_2_tasainteres;t_2_tasadescuento;t_2_vandel_proyecto;t_2_van_ylb;t_2_vp;t_2_tir_proyecto;t_2_tir_ylb
1;veto unethically;roundabout ack;impolite blossom;capitalize;hmph;the broadly reorient;very beyond;clueless impure;scope ick;bleakly solidly;inasmuch near;technician though ha;after;glittering;and;mysteriously upliftingly;fervently nor;which;notwithstanding fooey;monthly;since schlep drat;phew
2;even enhance;unless wombat against;overplay er;chip actually;tusk;despite muffled fabricate;however nor;clavicle courageously greedily;while;mid boohoo t-shirt;selfishly tennis;underneath;boo filthy responsible;intent per;minus;igloo idolized;finally;angrily shipper however;categorise;executor;gah;adumbrate
3;silently during;materialise jubilantly;notarize reconstitute defenseless;vivaciously briefly;jiggle gosh;vulgarise;dramatize;yet provided;fake equally;likewise spotless among;verve import wetly;hassle;mixed querulous;following limping;so;nippy;until;belabor pinion masquerade;knife whoever down;golden;onto gee federate;above scary aw
4;plus;meander;within bogus beneath;digitize acclaimed brood;psst;murky;closely ugh per;readily self-reliant until;override see;catalyst;political far;off faithfully cheerfully;husk for;lift strong;mostly;fit yum usefully;whirlwind;finally after frilly;flawed yearly;why hm;er now unfreeze;consequently yak whenever
5;hence sport;roughly ack towards;corner;beneath;fully till patiently;meanwhile duh sympathetically;near recompense whale;indeed oh cool;doorpost like yet;downchange;finally lotion below;ponder story;aha geez;pity mundane nearly;tame;hmph;atop;atop submissive;who;interestingly how;phew majority toothpick;gracefully thin
6;discontinue;yum;kookily whoever lack;wrong whenever beneficial;for mill;newsprint onto likewise;moisten;faithfully gazebo why;limp except;ouch noted;triumphantly beyond hence;er finally;unfortunately in shrilly;fooey;wide;hmph allegation manner;obediently;round spiteful;malfunction;fluff garage;waist duh;now casket sedately
7;boo harvest norm;until solemnly perspire;metabolite;eventually;an;decisive frenetically;accredit;proper lined;whoa neaten;blah overburden;beside whoa;besides;shrill provided;phooey silent;offset under meanwhile;vivaciously solidly;likely into;enfold;describe inquisitively swathe;circle throughout;oily;elegantly
8;behind supposing;jubilantly regular eventually;yuck;singing;mediocre;apt energetically zowie;between;except swanling;blissfully idealistic refine;gosh questionably instance;pupil amongst;why;loosely fooey;inasmuch for geez;airport until;an agile vol;sham sheepishly athwart;amongst fowl barring;runway preheat lost;woot phooey fall;jubilantly bah too;wetly lampoon pace
9;bleakly;markup delirious upon;diligent venture pfft;uselessly usefully form;carp although;napkin pop;utilized;wretched polarisation where;while bare;abaft rural;outdo;steeple;till;brr;spork;rot aha;airman frozen;busily jaggedly notwithstanding;excluding joyously;palate beneath urgently;er;drat
10;astride monstrous;inasmuch afore;separately duh incidentally;but hence plumber;plus pilot boohoo;mouser pfft;hopelessly;loftily towards till;since;jovially for;grok instead;across breastplate list;venom versus given;unless airman since;napkin pish of;first plus willfully;tremendously inasmuch;that;hence wise brr;grounded;divine beep;frantically bid
